"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"2529",50,2500,1,1,5,1,11,1,1,0,3,262.685641744003,1,263,24,720000,1170000,720000,0,6,2,1,45,3,120,720000,7000,NA,7000,720000,7000
"2530",45,2025,0,1,6,1,6,0,1,0,3,262.685641744003,1,263,120,1562500,1562500,1562500,0,7,2,0,11,3,7,1562500,3038.1943359375,NA,2916.66674804688,1562500,3038.1943359375
"2531",54,2916,0,1,6,5,4,0,1,0,3,262.685641744003,1,263,74,0,3e+06,0,0,7,2,1,51,3,96,NA,NA,NA,NA,NA,NA
"2532",47,2209,1,1,6,1,3,0,1,0,3,262.685641744003,1,263,48,0,1383333,0,0,7,2,0,33,3,300,NA,NA,NA,NA,NA,NA
"2533",62,3844,1,1,4,4,8,0,2,1,2,249.873508634932,0,250,70,0,1500000,0,0,5,2,1,45,1,1,NA,NA,NA,NA,NA,NA
"2534",47,2209,1,1,3,1,5,0,2,0,2,212.15194600022,0,212,48,8e+05,8e+05,8e+05,0,4,2,0,79,1,12,8e+05,3888.88891601562,NA,3888.88891601562,8e+05,3888.88891601562
"2535",19,361,1,1,5,1,11,1,2,0,2,212.15194600022,0,212,48,8e+05,8e+05,8e+05,0,6,2,1,39,3,2,8e+05,3888.88891601562,NA,3888.88891601562,8e+05,3888.88891601562
"2536",39,1521,0,1,6,1,5,0,1,0,3,239.820599635845,1,240,30,1200000,1900000,1200000,0,7,2,0,44,1,3,1200000,9333.3330078125,NA,9333.3330078125,1200000,9333.3330078125
"2537",51,2601,0,1,5,4,11,1,2,1,3,285.589840222057,0,286,56,2e+05,2e+05,2e+05,0,6,2,0,80,1,48,NA,NA,NA,NA,2e+05,833.333312988281
"2538",51,2601,1,1,6,2,5,0,1,0,3,221.692551686127,1,222,48,3158333.33333333,3158333.33333333,3158333.33333333,0,7,2,0,13,2,300,3158333.25,15353.0087890625,NA,13125,3158333.25,15353.0087890625
"2539",24,576,0,1,6,1,7,0,1,0,3,221.692551686127,1,222,40,2958333.33333333,2958333.33333333,2958333.33333333,0,7,2,0,8,3,5,2958333.25,17256.943359375,NA,16916.666015625,2958333.25,17256.943359375
"2540",53,2809,1,1,6,1,6,0,1,0,4,255.783757317111,1,256,40,8650000,8650000,8650000,0,7,2,0,21,1,252,7850000,45791.66796875,NA,42000,7850000,45791.66796875
"2541",31,961,0,1,6,1,6,0,1,0,4,255.783757317111,1,256,40,2513333.33333333,2513333.33333333,2513333.33333333,0,7,2,0,12,3,52,2383333.25,13902.77734375,NA,12833.3330078125,2383333.25,13902.77734375
"2542",28,784,1,1,6,1,5,0,1,0,4,255.783757317111,1,256,40,1300000,1300000,1300000,0,7,2,0,12,9,24,1300000,7583.33349609375,NA,7000,1300000,7583.33349609375
"2543",60,3600,0,1,6,4,2,0,2,1,3,252.319897189289,0,252,50,8e+05,8e+05,8e+05,0,7,2,0,80,1,28,NA,NA,NA,NA,8e+05,3733.33325195312
"2544",32,1024,0,1,6,4,5,0,1,1,3,197.333535369313,1,197,35,2800000,2800000,2800000,0,7,2,1,16,1,36,NA,NA,NA,NA,2800000,18666.666015625
"2545",36,1296,1,1,5,4,11,1,2,1,2,238.732545965142,0,239,72,8e+05,8e+05,8e+05,0,6,2,1,57,1,24,NA,NA,NA,NA,8e+05,2592.59252929688
"2546",50,2500,0,1,5,4,11,1,1,1,2,238.732545965142,0,239,60,1e+06,1e+06,1e+06,0,6,2,1,41,2,180,NA,NA,NA,NA,1e+06,3888.88891601562
"2547",25,625,0,1,6,1,6,0,1,0,4,285.589840222057,1,286,30,4750000,4750000,4750000,0,7,2,1,45,1,9,4750000,36944.4453125,NA,35000,4750000,36944.4453125
"2548",28,784,0,1,6,1,5,0,1,0,4,285.589840222057,1,286,40,1785000,1785000,1785000,0,7,2,0,2,9,30,1715000,10004.1669921875,NA,8750,1715000,10004.1669921875
"2549",38,1444,1,1,6,1,6,0,1,0,4,212.15194600022,1,212,45,3683333.33333333,6183333.33333333,3683333.33333333,0,7,2,0,15,1,52,3683333.25,19098.765625,NA,17629.62890625,3683333.25,19098.765625
"2550",22,484,0,1,6,1,4,0,1,0,3,233.44238857997,1,233,16,474333.333333333,574333.333333333,474333.333333333,0,7,2,0,33,3,24,474333.34375,6917.361328125,NA,5833.33349609375,474333.34375,6917.361328125
"2551",64,4096,0,1,5,4,11,1,1,1,3,233.079510298887,1,233,60,2e+06,2e+06,2e+06,0,6,2,1,98,1,480,NA,NA,NA,NA,2e+06,7777.77783203125
"2552",36,1296,1,1,6,1,5,0,1,0,3,233.079510298887,1,233,48,1600000,1600000,1600000,0,7,2,0,13,3,2,1600000,7777.77783203125,NA,7777.77783203125,1600000,7777.77783203125
"2553",24,576,1,1,6,4,5,0,2,1,3,233.079510298887,0,233,48,0,30000,0,0,7,2,0,15,3,6,NA,NA,NA,NA,NA,NA
"2554",60,3600,0,1,5,1,11,1,2,0,3,229.715716524986,0,230,50,NA,8e+05,8e+05,NA,6,2,1,98,1,1,8e+05,2828.28271484375,NA,3733.33325195312,8e+05,2828.28271484375
"2555",51,2601,1,1,5,4,11,1,2,1,3,229.715716524986,0,230,60,950000,950000,950000,0,6,2,1,41,2,24,NA,NA,NA,NA,950000,3694.4443359375
"2556",22,484,0,1,6,6,3,0,2,0,3,229.715716524986,0,230,4,NA,0,NA,0,7,2,1,97,3,7,NA,NA,NA,NA,NA,NA
"2557",19,361,0,1,5,1,11,1,1,0,3,229.715716524986,1,230,48,0,781242,0,0,6,2,0,38,3,7,NA,NA,NA,NA,NA,NA
"2558",30,900,0,1,6,6,2,0,2,0,3,229.715716524986,0,230,6,NA,0,NA,NA,7,2,1,97,3,6,NA,NA,NA,NA,NA,NA
"2559",26,676,1,1,6,1,2,0,1,0,3,229.715716524986,1,230,40,0,930628,0,0,7,2,1,33,5,4,NA,NA,NA,NA,NA,NA
"2560",45,2025,0,1,3,4,5,0,1,1,1,230.217133482606,1,230,60,1300000,1300000,1300000,0,4,2,1,98,1,2,NA,NA,NA,NA,1300000,5055.5556640625
"2561",25,625,1,1,6,4,5,0,1,1,1,230.217133482606,1,230,40,1800000,1800000,1800000,0,7,2,1,1,3,1,NA,NA,NA,NA,1800000,10500
"2562",30,900,0,1,5,1,11,1,1,0,1,263.549709140046,1,264,60,923453,923453,923453,0,6,2,0,98,1,60,923453,3591.2060546875,NA,3038.16333007812,923453,3591.2060546875
"2563",49,2401,0,1,6,4,5,0,1,1,4,240.570060295446,1,241,40,4500000,4500000,4500000,0,7,2,0,11,1,60,NA,NA,NA,NA,4500000,26250
